Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
Apartment,440000,Sundowner,,Gauteng,,1.0,1.0,37 m²,https://www.property24.com/for-sale/sundowner/randburg/gauteng/4298/115974998,
1 Bedroom Apartment,650000,Weltevreden Park,40 Without Avenue,Gauteng,1.0,1.0,1.0,54 m²,https://www.property24.com/for-sale/weltevreden-park/roodepoort/gauteng/1593/116014387,
1 Bedroom Apartment,560000,Morning Hill,3 Sugar Bush Rd,Gauteng,1.0,1.0,1.0,52 m²,https://www.property24.com/for-sale/morning-hill/bedfordview/gauteng/11760/116021717,
2 Bedroom Apartment,350000,Florida,"16 Ss Katherine Court, 10 Hamberg Road",Gauteng,2.0,1.0,1.0,85 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116026741,Estate Agency profile for Harcourts Rhino
2 Bedroom Apartment,450000,Florida,37 3rd Ave,Gauteng,2.0,1.0,1.0,68 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116050173,Estate Agency profile for eProperty.Net
3 Bedroom Apartment,650000,Groblerpark,314 Reitz Road,Gauteng,3.0,2.0,2.0,,https://www.property24.com/for-sale/groblerpark/roodepoort/gauteng/688/116067154,
1 Bedroom Apartment,590000,Heuweloord,"11 Silwer Eike Avenue, The Junction At Forest Hill",Gauteng,1.0,1.0,1.0,35 m²,https://www.property24.com/for-sale/heuweloord/centurion/gauteng/377/115952135,Estate Agency profile for Pro Namic Real Estate
2 Bedroom Apartment,540000,Wilro Park,"16 Ambience, 20 Doring Road",Gauteng,2.0,1.0,1.0,54 m²,https://www.property24.com/for-sale/wilro-park/roodepoort/gauteng/800/116009432,Estate Agency profile for EXP South Africa
1 Bedroom Apartment,325000,Ruimsig,144 Peter Road,Gauteng,1.0,1.0,1.0,28 m²,https://www.property24.com/for-sale/ruimsig/roodepoort/gauteng/826/116063746,Estate Agency profile for Property.CoZa - Leading Edge
2 Bedroom Apartment,649000,Roodekrans,"34 Ss Azalea Estate, 5 Azalea Avenue",Gauteng,2.0,1.0,2.0,61 m²,https://www.property24.com/for-sale/roodekrans/roodepoort/gauteng/653/116024558,Estate Agency profile for EZI Properties
2 Bedroom Apartment,599000,Witpoortjie,"73 Ss Epic Estate, 498 Calvinia Street",Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/witpoortjie/roodepoort/gauteng/813/116009282,Estate Agency profile for RE/MAX 2000 - Florida
2 Bedroom Apartment,450000,Florida,41 4th Ave,Gauteng,2.0,1.0,1.0,56 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116050271,Estate Agency profile for eProperty.Net
2 Bedroom Apartment,400000,Lindhaven,"33 Ss Westwood Gardens, 431 Dempers Street",Gauteng,2.0,1.0,2.0,60 m²,https://www.property24.com/for-sale/lindhaven/roodepoort/gauteng/731/114163336,Estate Agency profile for RE/MAX Town and Country
3 Bedroom Apartment,550000,Krugersdorp Central,"31 Ss Drimar Court, 17 Ockerse Street",Gauteng,3.0,2.0,1.0,148 m²,https://www.property24.com/for-sale/krugersdorp-central/krugersdorp/gauteng/16727/116013765,Estate Agency profile for RE/MAX Town and Country
2 Bedroom Apartment,400000,Lindhaven,"33 Ss Westwood Gardens, 431 Dempers Street",Gauteng,2.0,1.0,2.0,60 m²,https://www.property24.com/for-sale/lindhaven/roodepoort/gauteng/731/116037057,Estate Agency profile for RE/MAX Town and Country
Kenwyn    Development in Windsor East,410000410000,,,Gauteng,,,,83 m²,https://www.property24.com/new-developments-for-sale/windsor-east/randburg/gauteng/kenwyn/4522/5303,
2 Bedroom Apartment,698000,Ferndale,439 Long Ave,Gauteng,2.0,1.0,1.0,55 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/115947713,
